Point,Description,Latitude,Longitude,Notes
Rwy 04 Threshold,Touchdown end — south/lower elevation (where you land coming uphill),45.395948,6.632793,Captured in-sim via DataRefEditor 2026-03-01
Rwy 22 Threshold,Stop end — north/upper elevation (opposite end of Rwy 04),45.399094,6.637169,Captured in-sim via DataRefEditor 2026-03-01
Runway Width (metres),Published width,18,,Confirmed against published figure
Runway Heading,Magnetic heading facing Rwy 04,040,,Cockpit heading indicator; calc bearing from coords ~044
